id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,language,forks,description,topics,topic
43899983,FinanceReactNative+7kfpun,7kfpun,2059,2015-10-08T15:48:32Z,2024-11-15T17:12:11Z,4544,2059,25,JavaScript,630,[Deprecated] iOS's Stocks App clone written in React Native for demo purpose (available both iOS and Android).,"['android', 'ios', 'react-native', 'stock', 'yahoo-finance']",Finance
27359165,finance.js+ebradyjobory,ebradyjobory,1247,2014-12-01T02:32:27Z,2024-11-20T08:43:26Z,217,1247,30,JavaScript,154,A JavaScript library for common financial calculations,"['finance', 'javascript']",Finance
92805434,money-tracker+ayastreb,ayastreb,909,2017-05-30T06:43:48Z,2024-11-11T13:34:03Z,2324,909,67,JavaScript,249,:moneybag: Personal finances tracking web app,"['finance', 'pouchdb', 'pwa', 'react', 'semantic-ui', 'webapp']",Finance
2727966,banking.js+euforic,euforic,631,2011-11-07T17:44:29Z,2024-11-14T19:44:48Z,262,631,0,JavaScript,105,The Missing API for Banks - Get all of your transactions and balances using node,"['banking', 'currency', 'finance']",Finance
290301022,defi-threat+manifoldfinance,manifoldfinance,487,2020-08-25T19:09:04Z,2024-10-14T22:02:57Z,14085,487,19,JavaScript,53,a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations on decentralized finance ,"['advisories', 'blockchain', 'cve', 'defi', 'defi-threat', 'erc20', 'erc721', 'ethereum', 'evm', 'infosec', 'kill-chain', 'nfts', 'smart-contracts', 'smart-contracts-audit', 'solidity', 'threat', 'threat-matrix']",Finance
131414201,AI_in_Finance+llSourcell,llSourcell,421,2018-04-28T13:59:11Z,2024-10-19T10:36:13Z,1625,421,19,JavaScript,250,"This is the code for ""AI in Finance"" By Siraj Raval on Youtube",[],Finance
87192440,Perfi+apiko-dev,apiko-dev,365,2017-04-04T13:50:39Z,2024-11-04T12:50:51Z,2845,365,3,JavaScript,182,Personal finance assistance with ReactNative,"['android', 'exponent', 'ios', 'mobile', 'nodejs', 'react', 'react-native']",Finance
659951024,budgetbee+budgetbee,budgetbee,353,2023-06-28T23:32:30Z,2024-11-18T22:57:52Z,1615,353,15,JavaScript,7,BudgetBee is a finance self hosted app,[],Finance
44434250,dimeshift+jeka-kiselyov,jeka-kiselyov,195,2015-10-17T11:16:04Z,2024-10-26T19:34:33Z,2187,195,7,JavaScript,45,:moneybag::moneybag::moneybag: the easiest way to track your expenses. Free. Open-source. Node.js,"['backbone', 'backbone-framework', 'backbonejs', 'budget', 'budgeting', 'expenses', 'financial', 'javascript', 'money', 'moneybag', 'node', 'nodejs', 'personal-finance', 'personal-finances']",Budget Tracker
489950444,Wallety+blaiti,blaiti,126,2022-05-08T13:24:10Z,2024-11-08T04:56:05Z,374,126,1,JavaScript,31,Wallety is a budget tracker for personal finance and budget planning.,"['android', 'ios', 'javascript', 'mobile', 'react-native']",Budget Tracker
