id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
5923215,hexo,hexojs,39476,2012-09-23T15:17:08Z,2024-11-06T08:28:25Z,6872,39476,93,4855,Blog
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T08:20:07Z,109171,35236,34,2228,Blog
126178683,halo,halo-dev,33967,2018-03-21T12:56:52Z,2024-11-06T07:41:29Z,75088,33967,300,9689,Blog
37382858,engineering-blogs,kilimchoi,31662,2015-06-13T18:25:17Z,2024-11-05T19:40:45Z,1339,31662,128,1626,Blog
574523116,awesome-chatgpt-prompts,f,112366,2022-12-05T13:54:13Z,2024-11-06T08:51:57Z,773,112366,299,15322,Chatbot
145553672,funNLP,fighting41love,68908,2018-08-21T11:20:39Z,2024-11-06T08:35:30Z,174188,68908,128,14499,Chatbot
620936652,gpt4free,xtekky,61021,2023-03-29T17:00:43Z,2024-11-06T08:43:22Z,162906,61021,26,13301,Chatbot
626805178,dify,langgenius,50787,2023-04-12T07:40:24Z,2024-11-06T08:52:53Z,55713,50787,332,7302,Chatbot
229764465,30-Days-Of-JavaScript,Asabeneh,43201,2019-12-23T14:07:40Z,2024-11-06T08:47:16Z,124975,43201,345,10018,Chatbot
615882673,FastChat,lm-sys,36882,2023-03-19T00:18:02Z,2024-11-06T07:48:56Z,35159,36882,887,4544,Chatbot
640079149,quivr,QuivrHQ,36516,2023-05-12T23:53:30Z,2024-11-06T07:12:37Z,126552,36516,144,3565,Chatbot
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T08:20:07Z,109171,35236,34,2228,Chatbot
680120071,autogen,microsoft,32662,2023-08-18T11:43:45Z,2024-11-06T08:26:51Z,134663,32662,520,4753,Chatbot
621799276,Langchain-Chatchat,chatchat-space,31897,2023-03-31T12:12:45Z,2024-11-06T08:39:10Z,143590,31897,115,5562,Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,201820,2015-06-01T02:33:17Z,2024-11-06T08:48:33Z,16476,201820,0,9658,Social Network
65600975,pytorch,pytorch,83655,2016-08-13T05:26:41Z,2024-11-06T08:53:01Z,1002208,83655,15353,22573,Social Network
212639071,devops-exercises,bregman-arie,66540,2019-10-03T17:31:21Z,2024-11-06T05:14:02Z,4703,66540,33,14858,Social Network
3638964,ansible,ansible,62902,2012-03-06T14:58:02Z,2024-11-06T08:47:07Z,256322,62902,861,23904,Social Network
162998479,sherlock,sherlock-project,60009,2018-12-24T14:30:48Z,2024-11-06T08:25:16Z,17971,60009,215,6912,Social Network
41912791,v2ray-core,v2ray,45413,2015-09-04T11:42:53Z,2024-11-06T08:25:23Z,55125,45413,10,8947,Social Network
423275200,fuels-rs,FuelLabs,44059,2021-10-31T22:33:54Z,2024-11-05T02:34:35Z,16941,44059,94,1344,Social Network
402860175,fuels-ts,FuelLabs,44054,2021-09-03T18:11:03Z,2024-11-06T08:11:24Z,45245,44054,125,1344,Social Network
22458259,Alamofire,Alamofire,41125,2014-07-31T05:56:19Z,2024-11-06T02:00:58Z,38881,41125,41,7540,Social Network
191113739,interview_internal_reference,0voice,36615,2019-06-10T06:54:19Z,2024-11-05T23:50:34Z,1160,36615,31,9447,Social Network
229764465,30-Days-Of-JavaScript,Asabeneh,43201,2019-12-23T14:07:40Z,2024-11-06T08:47:16Z,124975,43201,345,10018,Messaging
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T08:20:07Z,109171,35236,34,2228,Messaging
19374812,tdesktop,telegramdesktop,26253,2014-05-02T12:36:31Z,2024-11-06T08:44:13Z,235960,26253,855,5215,Messaging
4307108,nsq,nsqio,24964,2012-05-12T14:37:08Z,2024-11-06T07:04:42Z,14163,24964,71,2902,Messaging
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,105,3594,Messaging
75164823,rocketmq,apache,21219,2016-11-30T08:00:08Z,2024-11-06T02:37:55Z,42782,21219,428,11680,Messaging
600596928,LibreChat,danny-avila,18864,2023-02-12T01:06:52Z,2024-11-06T08:45:15Z,45854,18864,182,3142,Messaging
5901900,disruptor,LMAX-Exchange,17463,2012-09-21T13:42:24Z,2024-11-06T01:15:40Z,10070,17463,18,3926,Messaging
51575745,commitlint,conventional-changelog,16854,2016-02-12T08:37:56Z,2024-11-06T06:39:39Z,17851,16854,178,906,Messaging
6443435,nats-server,nats-io,15890,2012-10-29T16:12:24Z,2024-11-06T06:43:51Z,39265,15890,376,1404,Messaging
229764465,30-Days-Of-JavaScript,Asabeneh,43201,2019-12-23T14:07:40Z,2024-11-06T08:47:16Z,124975,43201,345,10018,Forum
