id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
126178683,halo,halo-dev,33998,2018-03-21T12:56:52Z,2024-11-08T13:15:28Z,75088,33998,300,9698,Blog
37382858,engineering-blogs,kilimchoi,31672,2015-06-13T18:25:17Z,2024-11-08T10:14:38Z,1339,31672,128,1628,Blog
574523116,awesome-chatgpt-prompts,f,112456,2022-12-05T13:54:13Z,2024-11-08T13:54:23Z,773,112456,298,15335,Chatbot
145553672,funNLP,fighting41love,68969,2018-08-21T11:20:39Z,2024-11-08T14:51:03Z,174188,68969,128,14501,Chatbot
620936652,gpt4free,xtekky,61062,2023-03-29T17:00:43Z,2024-11-08T13:23:11Z,162906,61062,28,13305,Chatbot
626805178,dify,langgenius,51075,2023-04-12T07:40:24Z,2024-11-08T14:51:26Z,54511,51075,333,7352,Chatbot
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Chatbot
615882673,FastChat,lm-sys,36902,2023-03-19T00:18:02Z,2024-11-08T08:56:57Z,35165,36902,890,4546,Chatbot
640079149,quivr,QuivrHQ,36558,2023-05-12T23:53:30Z,2024-11-08T14:37:42Z,126569,36558,140,3567,Chatbot
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Chatbot
680120071,autogen,microsoft,32889,2023-08-18T11:43:45Z,2024-11-08T15:02:02Z,134517,32889,530,4779,Chatbot
621799276,Langchain-Chatchat,chatchat-space,31933,2023-03-31T12:12:45Z,2024-11-08T12:43:41Z,143590,31933,115,5564,Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,202222,2015-06-01T02:33:17Z,2024-11-08T15:20:20Z,16476,202222,0,9668,Social Network
65600975,pytorch,pytorch,83741,2016-08-13T05:26:41Z,2024-11-08T15:17:48Z,999223,83741,15439,22584,Social Network
